"RegionName","City","State","Metro","CountyName","SizeRank","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12"
"Northeast Dallas","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",1,,,,,,0.838926174496644,0.863564668769716,0.851783769063181,0.823991031390135,0.879835349309723,0.938151947148818,0.976923076923077,0.875486381322957,0.847513547603476,0.813736903376019,0.898638613861386,0.807295573893473,0.79664728319371,0.813350917150284,0.788830743207527,0.817708333333333,0.834532374100719,0.852014066496164,0.830555555555556,0.837837837837838,0.830555555555556,0.801792828685259,0.876808398023994,0.920118343195266,0.847368421052632,0.862110311750599,0.868478260869565,0.861895161290323,0.853658536585366,0.865338781069118,0.852704530087897,1.00118273211118,1,1,0.978508966948273,0.893333333333333,0.909217525195969,0.945019464163041,0.948300970873786,0.982729971169278,0.946028243601059,0.902858786170247,0.893138357705287,0.929978118161926,0.943869793339758,1.02208506356383,0.997220506485485,0.994521593447506,0.952041189692123,0.981132075471698,1.02490601143942,1.01571869719746,0.965447154471545,0.984337726452185,1.04604341736695,1.15950596787221,1.04353414823438,1.04083333333333,1.04218164794007,1.07142857142857,1.0730291249761,1.17272727272727,1.10555555555556,1.05456026058632,1.05534105534106,1.12210526315789,1.05546521848317,1.14498933901919,1.1627252711954,1.14222460903552,1.20258620689655,1.26748251748252,1.2474593495935,1.24626887340302,1.27584008667446,1.32262874599942,1.35636947431302,1.33346602972399,1.48224299065421,1.4157196969697,1.41624237504919,1.4025,1.41765359309579,1.42925234917609,1.46890343698854,1.43603330809992,1.43603330809992,1.43343419062027,1.39359654552421,1.35971068627906,1.35294117647059,1.340371081254,1.35294117647059,1.38468241042345,1.38250820291618,1.36861313868613,1.37027491408935,1.3911980390568,1.38156630170316,1.36380180329225,1.4,1.33894230769231,1.33649932157395,1.34806629834254,1.32113821138211,1.32978723404255,1.28192771084337
"Maryvale","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.830708661417323,0.849900596421471,0.792361111111111,0.854487665925306,0.875626174343305,0.874268949410334,0.877092632364552,0.922330097087379,0.961977186311787,0.898605830164765,0.898605830164765,0.884210526315789,0.898605830164765,0.904572564612326,0.934643274853801,0.886842105263158,0.846315789473684,0.846315789473684,0.878947368421053,0.872382851445663,0.872631578947368,0.921052631578947,0.961977186311787,0.961977186311787,0.915254237288136,0.942105263157895,0.955010224948875,0.994032362459547,1.00261513195043,1.04210526315789,1.11722463448387,1.18243243243243,1.24715909090909,1.31180625630676,1.33403361344538,1.31180625630676
"Paradise","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",3,0.747946859903382,0.739010989010989,0.72104172689602,0.72104172689602,0.72671202277649,0.735294117647059,0.73406862745098,0.789949169193969,0.801043219076006,0.761375125528327,0.782414307004471,0.791855203619909,0.781556572923479,0.784370058613638,0.759734093067426,0.756073468601065,0.755097044159544,0.771551724137931,0.771192528735632,0.74878640776699,0.74375,0.763358778625954,0.757720195279776,0.748905162412993,0.755511143410853,0.757864632983794,0.757040730505827,0.738859180035651,0.75177304964539,0.757864632983794,0.759803921568627,0.774922118380062,0.764525993883792,0.758784425451092,0.756376278678585,0.767826934392468,0.777777777777778,0.772884283246978,0.780532598714417,0.780498857496743,0.767045454545455,0.767045454545455,0.765249909951904,0.766509433962264,0.772399588053553,0.768258380458658,0.789141414141414,0.78792735042735,0.80788675429727,0.802575107296137,0.80788675429727,0.810857213274183,0.811068702290076,0.808361495406062,0.824372759856631,0.819672131147541,0.820485345534483,0.820707070707071,0.902184235517569,0.9064039408867,0.871578947368421,0.871969455318738,0.906225374310481,0.891996142719383,0.880453752181501,0.919047619047619,0.945685579196218,0.9,0.905625227190113,0.952914798206278,0.883534136546185,0.943050166297118,0.942350332594235,0.878561736770692,0.985885325028166,0.921875,0.955413703943116,0.989345509893455,1.01346221751412,0.989388790386131,1.00842105263158,1.01927558257345,1.05052631578947,1.10664479081214,1.06631578947368,1.04762528670931,1.0217654171705,1.11904761904762,1.15384615384615,1.15384615384615,1.17894736842105,1.18867924528302,1.15384615384615,1.15672306322351,1.20124666073019,1.19678714859438,1.2001443768997,1.15384615384615,1.15384615384615,1.13311026131294,1.12774024614565,1.19230769230769,1.20526315789474,1.21421742693253,1.1968085106383,1.19230769230769,1.19787045252884,1.20169082125604,1.20576508115208,1.16336633663366,1.17424242424242,1.15217391304348
"Upper West Side","New York","NY","New York-Newark-Jersey City","New York County",4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0388198757764,4.92403846153846,4.94053064958829,4.93733725995119,4.92514428460677,4.9017977526317,4.8525641025641,4.90692176684739,4.91666666666667,4.96912894566324,4.98301245753114,4.94868035190616,4.94560669456067,4.93398336211273,4.93824336688015,4.96959631980294,4.92134195920387,4.98301245753114,4.97772828507795,5.05263157894737,5.07285033571583,5.00373412994772,4.97772828507795,4.97772828507795,4.90801393728223,4.553264604811,4.87379361544172,4.89032759712445,4.84304932735426,4.7987012987013,4.81036077705828,4.81961147086031,4.90801393728223,4.90801393728223,4.87176470588235,4.90348923533779,4.89098128214032,4.88768414939789,4.88450598252955,4.85600750320861,4.9163179916318,4.91315081250984,4.90350877192982,4.8937784522003,4.94811320754717,4.89185847512277,4.92307692307692,4.98453758765059,4.96691888058119,4.90348923533779,4.98440748440748,4.94839677972666,4.98383185125303,4.89594127300434,4.88450598252955,4.9198717948718,4.90801393728223,4.93180378633261,4.98103502457709,5.06431011724513,5.04648736756316,5.02142564242756,5,4.98036414253898,5.1489921121823,5.00406004743,5.11358240625245
"South Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.89350961538462,1.95063694267516,1.89466089466089,2.06473214285714,1.9792735042735,1.86991869918699,1.97178036997761,1.88194444444444,2.10555555555556,2.09876543209877,2.15437808315715,2.11538461538462,2.13026444662096,2.05882352941176,2.1,2.0952380952381,2.13579849946409,2.14955357142857,2.35038363171356,2.43055555555556,2.19641401792991,2.21140026132404,2.26377952755906,2.3125,2.1875,2.33333333333333,2.3125,2.29540918163673,2.32835496791005,2.2363328313253,2.37805563791394,2.5
"Sunrise Manor","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",6,,,,,,,,,,,,,0.655594405594406,0.667008898015058,0.650749063670412,0.648414985590778,0.65367708417454,0.673452524038462,0.669291338582677,0.677803555090838,0.66735112936345,0.66735112936345,0.663801337153773,0.669642857142857,0.645342312008979,0.64785834109972,0.656139754485364,0.652400835073069,0.664741525248772,0.668612875445747,0.675675675675676,0.664767331433998,0.65947242206235,0.659646925316889,0.649675324675325,0.653333658489002,0.61576354679803,0.617827088671522,0.636288998357964,0.641012646854503,0.651215342813206,0.664206642066421,0.661936753890777,0.661111111111111,0.66510172143975,0.662150227107049,0.648835772436519,0.662593175370692,0.663859039377712,0.666324435318275,0.666837782340862,0.677073027013003,0.667735042735043,0.66562091503268,0.675206511175899,0.671296296296296,0.680643408981169,0.677664206098499,0.692668065710198,0.700189035916824,0.704592901878914,0.702067369093231,0.707070707070707,0.694444444444444,0.692663086400253,0.733755845434408,0.725921390717842,0.705329153605016,0.743006993006993,0.761607142857143,0.706463117606124,0.722222222222222,0.724696356275304,0.729107312440646,0.731578947368421,0.732758620689655,0.722837516960651,0.782342657342657,0.783928571428571,0.795392103625974,0.790779810310545,0.796428571428571,0.800892857142857,0.816085952040542,0.855096957836684,0.843644544431946,0.821378927287743,0.832679986020503,0.829853862212944,0.838675213675214,0.872689938398357,0.873526259378349,0.878885316184352,0.878885316184352,0.865384615384615,0.872689938398357,0.879651656537131,0.867167312661499,0.872689938398357,0.8852786206196,0.946977730646872,0.959560323027979,0.989395546129374,0.991326789642918,0.989395546129374,0.991228070175439,0.991649269311065,0.954631379962193,0.954631379962193,0.959271168274384,0.97534833869239,0.989071038251366
"Spring Valley","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1051735599593,0.942500471893031,0.999039385206532,0.999107142857143,0.979923518164436,0.962419798350137,0.960277907523186,0.963225903388175,1.02477721841275,0.983952991452991,0.959680004918947,0.948717948717949,1.01804757998359,1.01495726495726,1.05303903958716,1.02642276422764,1.036662193794,1.04166666666667,1.0609756097561,1.06286266924565,1.0530853467756,1.0515947467167,1.05691056910569,1.06504815971805,1.06315789473684,1.06741573033708,1.07588856868396,1.12715340442986,1.14718614718615,1.15947467166979,1.14805194805195,1.15750142913019,1.16536697047474,1.16948516832524,1.15591397849462,1.1605415860735,1.15789473684211,1.16410256410256,1.17237687366167,1.18293260894694,1.21998078770413,1.23053899390899,1.23307543520309,1.21111111111111,1.21436114044351,1.23151327011307,1.22222222222222,1.21951219512195
"Paradise Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",8,,,,,,,0.763829440300029,0.71377331420373,0.794016773784477,0.804924242424242,0.818761384335155,0.783972440959737,0.804020100502513,0.818761384335155,0.793718166383701,0.807427421063785,0.800186567164179,0.818639798488665,0.855042016806723,0.828460038986355,0.822115384615385,0.808372093023256,0.852390852390852,0.850973335600322,0.825788579159818,0.844771869446536,0.846153846153846,0.850340136054422,0.85274734215665,0.849518732569704,0.848369916733719,0.849443969204448,0.845708775313404,0.835065753918213,0.836065573770492,0.836201932269348,0.867749641662685,0.798084596967279,0.765833333333333,0.842105263157895,0.820957095709571,0.862942462942463,0.876880001353432,0.880136799651188,0.909918107370337,0.913461538461538,0.938867559860321,0.960080826038824,0.925047438330171,0.898472596585804,0.8866798494306,0.921286605763024,0.926920003994807,0.938144329896907,0.934664246823956,0.946969696969697,0.908358935980253,0.881287878787879,0.925542916235781,0.91884328358209,0.950871783158215,0.968253968253968,0.950871783158215,1.02392821535394,1.01095197978096,1.0371650821089,1.02597402597403,1.01933531010625,1.01754385964912,0.991194371629154,0.996107266435986,0.982419855222337,1.0856401384083,0.995533936900573,1.02597402597403,0.956632653061224,1.09127296198475,1.09751609935603,1.03058995334038,1.03743760399334,1.10356536502547,1.0977130977131,1.11038961038961,1.10253364795675,1.14595210946408,1.14874160885895,1.08056133056133,1.22634730538922,1.20104861773117,1.20961004252604,1.23182289774014,1.24962154085879,1.26131221719457,1.22282608695652,1.2004662004662,1.19160299681033,1.20876777572017,1.26644736842105,1.27137970353478,1.2887197578756,1.30023902266289,1.28719008264463,1.28787878787879,1.28753443526171,1.30552952202437,1.31578947368421,1.2995867768595,1.30017899254286,1.26567094876954,1.25789473684211,1.25064632885212,1.32352941176471
"Deer Valley","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",9,,,,,,,,,,,,0.766016713091922,0.79931154736494,0.754884547069272,0.745884773662551,0.757517816499697,0.722462203023758,0.744060475161987,0.754884547069272,0.760152284263959,0.743927125506073,0.748987854251012,0.758928571428571,0.802440374902088,0.835425383542538,0.816046966731898,0.824789915966387,0.807655502392345,0.785195407622092,0.833178869323448,0.820833333333333,0.829519907594034,0.824617111980491,0.837053571428571,0.810473815461347,0.802025782688766,0.826670501069509,0.799798792756539,0.759312320916905,0.833178869323448,0.837245997536946,0.829236808723889,0.833178869323448,0.839285714285714,0.865650018029728,0.888077858880779,0.878569636277006,0.890467500868961,0.895979020979021,0.8546759760438,0.848007414272475,0.861344537815126,0.852641334569045,0.869408329214239,0.923416241496599,0.869061413673233,0.896018710400794,0.935523114355231,0.939385188037479,0.911458333333333,0.935,0.935769656699889,0.987535953978907,0.935374149659864,0.961038961038961,0.973668377126256,1.02387387387387,1.04166666666667,1.01670644391408,0.951351351351351,1.01139240506329,1.00743533296643,0.938622205411229,0.939342881213142,0.938172877846791,0.965796074634747,0.963927710843373,0.992798353909465,0.995238095238095,1.01045810729355,1.04761904761905,1.05366599910992,1.06115107913669,1.06115107913669,1.03589204629028,1.02485089463221,1.04345238095238,1.01139240506329,1.01890756302521,1.07442977190876,1.07580184247612,1.05357142857143,1.04850088183422,1.07622547347839,1.05357142857143,1.07728494623656,1.07738095238095,1.08823529411765,1.09782608695652,1.09002904162633,1.07118055555556,1.11634742992968,1.13704393834829,1.15754046248571,1.16776315789474,1.17144948257081,1.15783410138249,1.18739130434783,1.21471477878288,1.23467525496511,1.24212904339818,1.21961805555556
"North Mountain","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",10,,,,,,,,,,0.721507531709148,0.720620842572062,0.71576860912109,0.724525745257453,0.692668240045327,0.665829145728643,0.655258545135846,0.646007061828563,0.679959100204499,0.69620253164557,0.705882352941177,0.693212669683258,0.707121412245204,0.702106318956871,0.710526315789474,0.717151454363089,0.712839037947175,0.714285714285714,0.692076228686058,0.690184049079755,0.718301770506499,0.72060453893309,0.733333333333333,0.72,0.721111111111111,0.739193530519552,0.744186046511628,0.75062656641604,0.749338196817188,0.737268518518519,0.727848101265823,0.724137931034483,0.721111111111111,0.733333333333333,0.733418367346939,0.784375,0.777777777777778,0.757575757575758,0.766666666666667,0.758689839572192,0.769135802469136,0.79216944801027,0.812094155844156,0.739171374764595,0.730337078651685,0.772222222222222,0.775775775775776,0.776221221221221,0.783730158730159,0.809411764705882,0.811478758169935,0.82046332046332,0.815217391304348,0.867428571428571,0.83421776945943,0.863784829428576,0.862268518518518,0.886469732732518,0.9,0.89375,0.904976198340175,0.881683731513083,0.906728075845723,0.867708333333333,0.824587912087912,0.871331058020478,0.870640823265133,0.866666666666667,0.913038958691133,0.914970020893632,0.949555555555555,0.960707269155206,0.961261020321026,0.93956043956044,0.934065934065934,0.946615824594852,0.95979381443299,0.936076119002948,0.924768518518518,0.952898550724638,0.968627450980392,0.982638888888889,0.982638888888889,0.988700564971751,1.00578703703704,1.01098901098901,1.04050925925926,1.04166666666667,1.04166666666667,1.0268720821662,1.04166666666667,1.04166666666667,1.0474537037037,1.05951388888889,1.0606822041198,1.08574879227053,1.10170612280587,1.09375,1.10644257703081,1.1211740237164,1.13571428571429,1.11764705882353,1.11111111111111
