Neighborhood,city,state,metro,county,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03
Little Havana,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245000.0,250000.0,253750.0,273000.0,260000.0,270000.0,266250.0,264999.5,264999.0,270000.0,272500.0,275000.0,319000.0,323500.0,277499.5,272500.0,275000.0,319950.0,284500.0,274500.0,259500.0
Flagami,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175000.0,170000.0,170000.0,180000.0,179450.0,179000.0,175000.0,183700.0,190000.0,189000.0,184700.0,187900.0,188900.0,195000.0,180000.0,195000.0,210000.0,183750.0,183000.0,187000.0,190000.0,190000.0,199900.0,200000.0,210000.0,215000.0,219900.0,218950.0,211500.0,211500.0,220000.0,222450.0,220000.0,222500.0,220000.0,229999.0,229999.0,245000.0,250000.0,250000.0,265000.0,269000.0,250000.0,250000.0,250000.0,259450.0,262500.0,259450.0,260000.0,259900.0,269999.5,280000.0,270000.0
Alameda - West Flagler,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189900.0,199900.0,215000.0,199900.0,199000.0,200000.0,204900.0,205000.0,221000.0,210500.0,217500.0,218600.0,219900.0,230000.0,237450.0,227500.0,224950.0,233500.0,219950.0,234750.0,229900.0,227500.0,229900.0,226250.0,220000.0,230000.0,259900.0,259450.0,259950.0,256950.0,244000.0,255000.0,265000.0,275500.0,275000.0,285000.0,289900.0,294900.0,292450.0,295000.0,292500.0,299000.0,299450.0,293877.0,295000.0,295000.0,295000.0,299000.0,295000.0,299000.0,293000.0,300000.0,299000.0,322000.0,290000.0
Allapattah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129950.0,125000.0,112500.0,125000.0,145000.0,142500.0,145000.0,150000.0,150000.0,150000.0,149450.0,140000.0,150000.0,175000.0,159000.0,160000.0,175000.0,174900.0,179900.0,190000.0,190000.0,190000.0,182450.0,185250.0,173345.0,179800.0,189000.0,189000.0,189000.0,183500.0,204900.0,175000.0,179800.0,167000.0,167000.0,189000.0
Coral Way,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319000.0,309900.0,302500.0,299949.5,299949.5,304900.0,299700.0,299000.0,309900.0,319000.0,329350.0,325000.0,318900.0,314900.0,319983.0,344600.0,340000.0,330000.0,330000.0,337669.0,347000.0,347500.0,357500.0,362000.0,369500.0,367000.0,375000.0,409999.0,396500.0,375000.0,375000.0,376938.0,375000.0,384800.0,409500.0,400000.0,416500.0,420000.0,425000.0,425000.0,410000.0,415000.0,415000.0,420000.0,429000.0,420000.0,420000.0,420000.0,420000.0,429000.0,435000.0,429000.0,430000.0
Little Haiti,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319950.0,325000.0,304500.0,292000.0,325000.0,339000.0,344450.0,349950.0,330000.0,330000.0,325000.0,299000.0,297000.0,299999.0,299000.0,317500.0,320000.0,312000.0,275000.0,287500.0,310000.0
Brickell,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,285000.0,284500.0,270000.0,269450.0,288000.0,279000.0,275950.0,275000.0,299000.0,279000.0,285900.0,292000.0,295000.0,325000.0,324000.0,325000.0,347900.0,340950.0,349000.0,339900.0,343900.0,325000.0,350000.0,350000.0,339000.0,335450.0,350000.0,359500.0,369000.0,372000.0,370000.0,395000.0,420000.0,395000.0,439000.0,449000.0,450000.0,448446.0,449000.0,445000.0,430000.0,436000.0,449000.0,449000.0,459000.0,450000.0,465000.0,465000.0,460000.0,455000.0,454999.5,450000.0,460000.0,460000.0,460000.0,460000.0,467000.0,470000.0,479000.0,480000.0,470000.0,475000.0,465900.0,465900.0,459000.0,455000.0,469000.0,475000.0,475000.0,475000.0,482750.0,492900.0,480000.0,480000.0,470000.0,478900.0,475000.0,475000.0,475000.0,470000.0,469250.0,469500.0,475000.0,469000.0,478950.0,470000.0,465000.0,465000.0,465000.0,475000.0,480000.0,487888.5,495000.0,498950.0,499000.0,499000.0,499000.0,499000.0,499900.0
Wynwood - Edgewater,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,399900.0,419900.0,420450.0,420000.0,410000.0,415000.0,410000.0,400000.0,415000.0,419400.0,429000.0,415000.0,433950.0,440000.0,433950.0,422900.0,429900.0,425000.0,390000.0,399000.0,437000.0,445000.0,475000.0,499000.0,525000.0,537400.0,540000.0,553950.0,524000.0,514000.0,505000.0,505000.0,499000.0,485000.0,469500.0,465000.0,465000.0,465000.0,459000.0,455950.0,454500.0,450000.0,450000.0,459450.0,468000.0,475000.0,469450.0,477450.0,480000.0,479000.0,470000.0,459000.0,479450.0
Downtown,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419000.0,450000.0,450000.0,490000.0,479900.0,470000.0,469000.0,450000.0,450000.0,460000.0,449950.0,449250.0,450000.0,459000.0,456500.0,465000.0,459000.0,450000.0,454900.0,465000.0,450000.0,450000.0,450000.0,440000.0,440000.0,442900.0,442900.0,449000.0,444950.0,445000.0,448450.0,449000.0,449000.0,445999.0,450000.0,450000.0,450000.0,470000.0,470000.0,470000.0,464000.0,450000.0,450000.0,449000.0,450000.0,450000.0,449000.0,446000.0,440000.0,430000.0,425000.0,425000.0,431700.0,430000.0,430000.0,425000.0,429000.0,419500.0,429500.0,425000.0,420000.0,424000.0,424450.0,415000.0,418450.0,419900.0
Shenandoah,Miami,FL,Miami-Fort Lauderdale,Miami-Dade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,374900.0,382000.0,370000.0,360000.0,349900.0,390000.0,393500.0,399000.0,384500.0,449450.0,436950.0,450000.0,464450.0,450000.0,485000.0,436950.0,435000.0,435000.0,424900.0,448000.0,437500.0,399900.0,437500.0,421950.0,449500.0,450000.0,450000.0,450000.0,459000.0,475000.0,475000.0,475000.0,499990.0,495000.0,477000.0,469900.0,460000.0,491000.0
